pattern_id,pattern_type,description,frequency,dates,representative_peak_time,statistical_support
Portfolio_peak_timing_016,recurring_peak_timing,Daily peak recurs near 08:00 on 3 of 721 complete days,3,"[datetime.date(2024, 10, 15), datetime.date(2024, 12, 16), datetime.date(2026, 5, 21)]",08:00,0.004
Portfolio_peak_timing_017,recurring_peak_timing,Daily peak recurs near 08:30 on 6 of 721 complete days,6,"[datetime.date(2025, 3, 25), datetime.date(2025, 3, 26), datetime.date(2025, 5, 29), datetime.date(2025, 6, 10), datetime.date(2025, 7, 20), datetime.date(2026, 4, 22)]",08:30,0.008
Portfolio_peak_timing_018,recurring_peak_timing,Daily peak recurs near 09:00 on 16 of 721 complete days,16,"[datetime.date(2024, 8, 2), datetime.date(2024, 10, 28), datetime.date(2025, 1, 2), datetime.date(2025, 1, 26), datetime.date(2025, 2, 23), datetime.date(2025, 3, 19), datetime.date(2025, 3, 24), datetime.date(2025, 5, 22), datetime.date(2025, 10, 25), datetime.date(2025, 10, 26), datetime.date(2026, 1, 29), datetime.date(2026, 3, 16), datetime.date(2026, 5, 12), datetime.date(2026, 5, 23), datetime.date(2026, 5, 26), datetime.date(2026, 7, 13)]",09:00,0.022
Portfolio_peak_timing_019,recurring_peak_timing,Daily peak recurs near 09:30 on 14 of 721 complete days,14,"[datetime.date(2024, 8, 4), datetime.date(2024, 10, 16), datetime.date(2024, 11, 4), datetime.date(2024, 11, 9), datetime.date(2025, 3, 10), datetime.date(2025, 3, 12), datetime.date(2025, 4, 2), datetime.date(2025, 4, 10), datetime.date(2025, 5, 12), datetime.date(2025, 11, 7), datetime.date(2025, 11, 8), datetime.date(2026, 1, 22), datetime.date(2026, 3, 4), datetime.date(2026, 6, 30)]",09:30,0.019
Portfolio_peak_timing_020,recurring_peak_timing,Daily peak recurs near 10:00 on 21 of 721 complete days,21,"[datetime.date(2024, 8, 9), datetime.date(2024, 10, 21), datetime.date(2024, 10, 23), datetime.date(2024, 11, 22), datetime.date(2024, 11, 26), datetime.date(2025, 2, 5), datetime.date(2025, 2, 25), datetime.date(2025, 4, 23), datetime.date(2025, 6, 1), datetime.date(2025, 10, 27), datetime.date(2025, 10, 28), datetime.date(2025, 10, 31), datetime.date(2025, 11, 12), datetime.date(2025, 11, 25), datetime.date(2026, 1, 10), datetime.date(2026, 2, 15), datetime.date(2026, 2, 27), datetime.date(2026, 3, 3), datetime.date(2026, 3, 27), datetime.date(2026, 6, 7), datetime.date(2026, 6, 29)]",10:00,0.029
Portfolio_peak_timing_021,recurring_peak_timing,Daily peak recurs near 10:30 on 33 of 721 complete days,33,"[datetime.date(2024, 8, 21), datetime.date(2024, 10, 4), datetime.date(2024, 10, 17), datetime.date(2024, 10, 30), datetime.date(2025, 1, 8), datetime.date(2025, 1, 15), datetime.date(2025, 1, 24), datetime.date(2025, 2, 28), datetime.date(2025, 3, 7), datetime.date(2025, 3, 14), datetime.date(2025, 4, 14), datetime.date(2025, 4, 24), datetime.date(2025, 5, 23), datetime.date(2025, 6, 25), datetime.date(2025, 7, 31), datetime.date(2025, 8, 6), datetime.date(2025, 12, 5), datetime.date(2025, 12, 8), datetime.date(2025, 12, 9), datetime.date(2026, 1, 2), datetime.date(2026, 1, 7), datetime.date(2026, 1, 8), datetime.date(2026, 1, 15), datetime.date(2026, 1, 16), datetime.date(2026, 2, 6), datetime.date(2026, 3, 7), datetime.date(2026, 3, 26), datetime.date(2026, 3, 29), datetime.date(2026, 4, 9), datetime.date(2026, 4, 29), datetime.date(2026, 5, 4), datetime.date(2026, 6, 11), datetime.date(2026, 6, 27)]",10:30,0.046
Portfolio_peak_timing_022,recurring_peak_timing,Daily peak recurs near 11:00 on 49 of 721 complete days,49,"[datetime.date(2024, 9, 9), datetime.date(2024, 10, 20), datetime.date(2024, 11, 5), datetime.date(2024, 11, 15), datetime.date(2024, 11, 20), datetime.date(2024, 12, 4), datetime.date(2024, 12, 18), datetime.date(2024, 12, 19), datetime.date(2025, 1, 9), datetime.date(2025, 1, 29), datetime.date(2025, 1, 30), datetime.date(2025, 2, 11), datetime.date(2025, 2, 14), datetime.date(2025, 2, 18), datetime.date(2025, 2, 24), datetime.date(2025, 3, 4), datetime.date(2025, 3, 18), datetime.date(2025, 3, 27), datetime.date(2025, 4, 3), datetime.date(2025, 4, 4), datetime.date(2025, 4, 8), datetime.date(2025, 4, 9), datetime.date(2025, 5, 24), datetime.date(2025, 7, 17), datetime.date(2025, 8, 4), datetime.date(2025, 8, 15), datetime.date(2025, 8, 18), datetime.date(2025, 8, 25), datetime.date(2025, 9, 2), datetime.date(2025, 10, 8), datetime.date(2025, 10, 24), datetime.date(2025, 11, 4), datetime.date(2025, 11, 11), datetime.date(2025, 11, 14), datetime.date(2025, 11, 17), datetime.date(2025, 11, 18), datetime.date(2025, 11, 20), datetime.date(2025, 11, 21), datetime.date(2025, 11, 24), datetime.date(2025, 12, 4), datetime.date(2025, 12, 16), datetime.date(2026, 1, 23), datetime.date(2026, 2, 7), datetime.date(2026, 2, 19), datetime.date(2026, 3, 13), datetime.date(2026, 4, 6), datetime.date(2026, 4, 20), datetime.date(2026, 5, 14), datetime.date(2026, 7, 24)]",11:00,0.068
Portfolio_peak_timing_023,recurring_peak_timing,Daily peak recurs near 11:30 on 32 of 721 complete days,32,"[datetime.date(2024, 8, 14), datetime.date(2024, 8, 19), datetime.date(2024, 8, 30), datetime.date(2024, 9, 4), datetime.date(2024, 11, 8), datetime.date(2024, 11, 11), datetime.date(2024, 11, 25), datetime.date(2024, 12, 23), datetime.date(2025, 1, 3), datetime.date(2025, 1, 14), datetime.date(2025, 2, 7), datetime.date(2025, 2, 8), datetime.date(2025, 2, 21), datetime.date(2025, 3, 28), datetime.date(2025, 4, 6), datetime.date(2025, 5, 19), datetime.date(2025, 5, 31), datetime.date(2025, 8, 22), datetime.date(2025, 8, 29), datetime.date(2025, 10, 29), datetime.date(2025, 12, 11), datetime.date(2025, 12, 15), datetime.date(2025, 12, 22), datetime.date(2026, 2, 8), datetime.date(2026, 2, 9), datetime.date(2026, 2, 18), datetime.date(2026, 3, 5), datetime.date(2026, 3, 23), datetime.date(2026, 4, 21), datetime.date(2026, 6, 23), datetime.date(2026, 6, 24), datetime.date(2026, 7, 22)]",11:30,0.044
Portfolio_peak_timing_024,recurring_peak_timing,Daily peak recurs near 12:00 on 42 of 721 complete days,42,"[datetime.date(2024, 8, 29), datetime.date(2024, 10, 7), datetime.date(2024, 11, 21), datetime.date(2024, 12, 2), datetime.date(2024, 12, 3), datetime.date(2025, 1, 16), datetime.date(2025, 1, 17), datetime.date(2025, 1, 21), datetime.date(2025, 1, 28), datetime.date(2025, 2, 6), datetime.date(2025, 2, 13), datetime.date(2025, 3, 11), datetime.date(2025, 3, 23), datetime.date(2025, 4, 22), datetime.date(2025, 5, 13), datetime.date(2025, 7, 28), datetime.date(2025, 8, 11), datetime.date(2025, 8, 28), datetime.date(2025, 9, 16), datetime.date(2025, 9, 19), datetime.date(2025, 10, 10), datetime.date(2025, 10, 16), datetime.date(2025, 11, 6), datetime.date(2025, 11, 19), datetime.date(2025, 12, 1), datetime.date(2025, 12, 18), datetime.date(2026, 1, 12), datetime.date(2026, 1, 20), datetime.date(2026, 2, 3), datetime.date(2026, 2, 4), datetime.date(2026, 2, 5), datetime.date(2026, 2, 10), datetime.date(2026, 2, 12), datetime.date(2026, 2, 17), datetime.date(2026, 2, 26), datetime.date(2026, 3, 2), datetime.date(2026, 3, 9), datetime.date(2026, 3, 17), datetime.date(2026, 3, 19), datetime.date(2026, 3, 24), datetime.date(2026, 4, 7), datetime.date(2026, 5, 8)]",12:00,0.058
Portfolio_peak_timing_025,recurring_peak_timing,Daily peak recurs near 12:30 on 45 of 721 complete days,45,"[datetime.date(2024, 8, 13), datetime.date(2024, 9, 6), datetime.date(2024, 10, 9), datetime.date(2024, 10, 18), datetime.date(2024, 11, 1), datetime.date(2024, 12, 5), datetime.date(2024, 12, 9), datetime.date(2025, 1, 6), datetime.date(2025, 1, 13), datetime.date(2025, 1, 25), datetime.date(2025, 1, 27), datetime.date(2025, 1, 31), datetime.date(2025, 2, 10), datetime.date(2025, 2, 20), datetime.date(2025, 2, 26), datetime.date(2025, 3, 3), datetime.date(2025, 3, 5), datetime.date(2025, 3, 21), datetime.date(2025, 4, 7), datetime.date(2025, 4, 11), datetime.date(2025, 4, 16), datetime.date(2025, 5, 16), datetime.date(2025, 5, 25), datetime.date(2025, 5, 27), datetime.date(2025, 6, 3), datetime.date(2025, 6, 6), datetime.date(2025, 6, 29), datetime.date(2025, 7, 1), datetime.date(2025, 7, 7), datetime.date(2025, 10, 9), datetime.date(2025, 10, 15), datetime.date(2025, 12, 3), datetime.date(2025, 12, 10), datetime.date(2025, 12, 17), datetime.date(2026, 1, 6), datetime.date(2026, 1, 14), datetime.date(2026, 1, 21), datetime.date(2026, 2, 20), datetime.date(2026, 2, 24), datetime.date(2026, 3, 18), datetime.date(2026, 3, 20), datetime.date(2026, 3, 25), datetime.date(2026, 4, 2), datetime.date(2026, 4, 13), datetime.date(2026, 5, 29)]",12:30,0.062
Portfolio_peak_timing_026,recurring_peak_timing,Daily peak recurs near 13:00 on 52 of 721 complete days,52,"[datetime.date(2024, 8, 22), datetime.date(2024, 9, 11), datetime.date(2024, 9, 26), datetime.date(2024, 9, 27), datetime.date(2024, 10, 11), datetime.date(2024, 11, 13), datetime.date(2024, 12, 6), datetime.date(2024, 12, 10), datetime.date(2024, 12, 12), datetime.date(2024, 12, 13), datetime.date(2025, 1, 7), datetime.date(2025, 1, 22), datetime.date(2025, 2, 3), datetime.date(2025, 2, 12), datetime.date(2025, 2, 19), datetime.date(2025, 3, 31), datetime.date(2025, 4, 27), datetime.date(2025, 4, 30), datetime.date(2025, 5, 14), datetime.date(2025, 5, 30), datetime.date(2025, 6, 11), datetime.date(2025, 6, 20), datetime.date(2025, 7, 8), datetime.date(2025, 7, 13), datetime.date(2025, 7, 27), datetime.date(2025, 8, 12), datetime.date(2025, 8, 27), datetime.date(2025, 9, 8), datetime.date(2025, 9, 9), datetime.date(2025, 9, 15), datetime.date(2025, 9, 25), datetime.date(2025, 9, 26), datetime.date(2025, 10, 1), datetime.date(2025, 10, 20), datetime.date(2025, 10, 22), datetime.date(2025, 11, 5), datetime.date(2025, 12, 12), datetime.date(2026, 1, 9), datetime.date(2026, 1, 13), datetime.date(2026, 2, 2), datetime.date(2026, 2, 23), datetime.date(2026, 2, 25), datetime.date(2026, 3, 8), datetime.date(2026, 4, 1), datetime.date(2026, 4, 8), datetime.date(2026, 4, 10), datetime.date(2026, 4, 26), datetime.date(2026, 4, 27), datetime.date(2026, 5, 6), datetime.date(2026, 6, 18), datetime.date(2026, 6, 28), datetime.date(2026, 7, 12)]",13:00,0.072
Portfolio_peak_timing_027,recurring_peak_timing,Daily peak recurs near 13:30 on 49 of 721 complete days,49,"[datetime.date(2024, 7, 30), datetime.date(2024, 8, 8), datetime.date(2024, 8, 15), datetime.date(2024, 8, 16), datetime.date(2024, 9, 16), datetime.date(2024, 10, 1), datetime.date(2024, 10, 22), datetime.date(2024, 11, 7), datetime.date(2024, 11, 12), datetime.date(2024, 11, 14), datetime.date(2024, 11, 18), datetime.date(2024, 11, 19), datetime.date(2024, 12, 7), datetime.date(2024, 12, 20), datetime.date(2025, 1, 10), datetime.date(2025, 1, 23), datetime.date(2025, 3, 6), datetime.date(2025, 3, 13), datetime.date(2025, 4, 18), datetime.date(2025, 5, 6), datetime.date(2025, 6, 12), datetime.date(2025, 7, 12), datetime.date(2025, 7, 22), datetime.date(2025, 8, 8), datetime.date(2025, 8, 19), datetime.date(2025, 9, 5), datetime.date(2025, 10, 3), datetime.date(2025, 12, 6), datetime.date(2026, 1, 5), datetime.date(2026, 1, 30), datetime.date(2026, 3, 10), datetime.date(2026, 4, 4), datetime.date(2026, 4, 18), datetime.date(2026, 4, 23), datetime.date(2026, 4, 24), datetime.date(2026, 4, 25), datetime.date(2026, 4, 28), datetime.date(2026, 5, 11), datetime.date(2026, 5, 13), datetime.date(2026, 5, 19), datetime.date(2026, 5, 22), datetime.date(2026, 6, 1), datetime.date(2026, 6, 5), datetime.date(2026, 6, 25), datetime.date(2026, 7, 1), datetime.date(2026, 7, 2), datetime.date(2026, 7, 14), datetime.date(2026, 7, 15), datetime.date(2026, 7, 21)]",13:30,0.068
Portfolio_peak_timing_028,recurring_peak_timing,Daily peak recurs near 14:00 on 42 of 721 complete days,42,"[datetime.date(2024, 8, 3), datetime.date(2024, 8, 26), datetime.date(2024, 9, 13), datetime.date(2024, 9, 18), datetime.date(2024, 10, 31), datetime.date(2024, 11, 6), datetime.date(2025, 2, 9), datetime.date(2025, 4, 15), datetime.date(2025, 4, 17), datetime.date(2025, 5, 4), datetime.date(2025, 5, 7), datetime.date(2025, 5, 8), datetime.date(2025, 5, 20), datetime.date(2025, 6, 17), datetime.date(2025, 6, 18), datetime.date(2025, 7, 6), datetime.date(2025, 7, 29), datetime.date(2025, 8, 7), datetime.date(2025, 9, 1), datetime.date(2025, 9, 6), datetime.date(2025, 9, 11), datetime.date(2025, 9, 29), datetime.date(2025, 10, 4), datetime.date(2025, 10, 7), datetime.date(2025, 10, 17), datetime.date(2025, 10, 21), datetime.date(2025, 10, 23), datetime.date(2025, 11, 10), datetime.date(2025, 12, 2), datetime.date(2025, 12, 19), datetime.date(2026, 2, 11), datetime.date(2026, 4, 11), datetime.date(2026, 4, 14), datetime.date(2026, 4, 16), datetime.date(2026, 5, 1), datetime.date(2026, 5, 15), datetime.date(2026, 6, 2), datetime.date(2026, 6, 4), datetime.date(2026, 6, 15), datetime.date(2026, 7, 6), datetime.date(2026, 7, 9), datetime.date(2026, 7, 10)]",14:00,0.058
Portfolio_peak_timing_029,recurring_peak_timing,Daily peak recurs near 14:30 on 39 of 721 complete days,39,"[datetime.date(2024, 7, 31), datetime.date(2024, 8, 12), datetime.date(2024, 8, 23), datetime.date(2024, 8, 28), datetime.date(2024, 9, 20), datetime.date(2024, 9, 24), datetime.date(2024, 10, 8), datetime.date(2024, 10, 19), datetime.date(2024, 10, 29), datetime.date(2025, 2, 4), datetime.date(2025, 2, 17), datetime.date(2025, 2, 27), datetime.date(2025, 3, 17), datetime.date(2025, 4, 25), datetime.date(2025, 4, 26), datetime.date(2025, 5, 2), datetime.date(2025, 5, 15), datetime.date(2025, 6, 5), datetime.date(2025, 7, 10), datetime.date(2025, 7, 23), datetime.date(2025, 7, 25), datetime.date(2025, 8, 9), datetime.date(2025, 8, 26), datetime.date(2025, 9, 3), datetime.date(2025, 9, 12), datetime.date(2025, 9, 21), datetime.date(2025, 10, 6), datetime.date(2025, 10, 13), datetime.date(2025, 10, 18), datetime.date(2025, 11, 15), datetime.date(2026, 2, 21), datetime.date(2026, 3, 11), datetime.date(2026, 4, 3), datetime.date(2026, 4, 17), datetime.date(2026, 5, 7), datetime.date(2026, 5, 25), datetime.date(2026, 5, 28), datetime.date(2026, 6, 8), datetime.date(2026, 6, 9)]",14:30,0.054
Portfolio_peak_timing_030,recurring_peak_timing,Daily peak recurs near 15:00 on 34 of 721 complete days,34,"[datetime.date(2024, 8, 20), datetime.date(2024, 9, 10), datetime.date(2024, 9, 19), datetime.date(2024, 9, 23), datetime.date(2024, 9, 25), datetime.date(2024, 10, 2), datetime.date(2024, 10, 10), datetime.date(2024, 10, 24), datetime.date(2024, 10, 25), datetime.date(2024, 12, 11), datetime.date(2025, 3, 20), datetime.date(2025, 4, 1), datetime.date(2025, 4, 29), datetime.date(2025, 5, 5), datetime.date(2025, 5, 18), datetime.date(2025, 6, 2), datetime.date(2025, 6, 4), datetime.date(2025, 6, 9), datetime.date(2025, 6, 30), datetime.date(2025, 7, 14), datetime.date(2025, 7, 16), datetime.date(2025, 8, 20), datetime.date(2025, 9, 10), datetime.date(2025, 9, 22), datetime.date(2025, 9, 23), datetime.date(2025, 9, 24), datetime.date(2025, 10, 2), datetime.date(2025, 10, 14), datetime.date(2025, 10, 30), datetime.date(2026, 2, 13), datetime.date(2026, 3, 1), datetime.date(2026, 4, 12), datetime.date(2026, 4, 30), datetime.date(2026, 6, 16)]",15:00,0.047
Portfolio_peak_timing_031,recurring_peak_timing,Daily peak recurs near 15:30 on 31 of 721 complete days,31,"[datetime.date(2024, 8, 7), datetime.date(2024, 8, 17), datetime.date(2024, 8, 24), datetime.date(2024, 8, 27), datetime.date(2024, 9, 3), datetime.date(2024, 9, 12), datetime.date(2024, 9, 15), datetime.date(2024, 9, 30), datetime.date(2024, 10, 3), datetime.date(2024, 10, 12), datetime.date(2025, 1, 20), datetime.date(2025, 4, 21), datetime.date(2025, 4, 28), datetime.date(2025, 7, 24), datetime.date(2025, 8, 5), datetime.date(2025, 9, 4), datetime.date(2025, 9, 17), datetime.date(2025, 9, 18), datetime.date(2025, 9, 30), datetime.date(2025, 10, 5), datetime.date(2025, 11, 3), datetime.date(2026, 3, 31), datetime.date(2026, 5, 5), datetime.date(2026, 5, 10), datetime.date(2026, 5, 16), datetime.date(2026, 5, 31), datetime.date(2026, 6, 3), datetime.date(2026, 6, 12), datetime.date(2026, 6, 22), datetime.date(2026, 7, 3), datetime.date(2026, 7, 20)]",15:30,0.043
Portfolio_peak_timing_032,recurring_peak_timing,Daily peak recurs near 16:00 on 7 of 721 complete days,7,"[datetime.date(2024, 9, 5), datetime.date(2025, 5, 1), datetime.date(2025, 6, 26), datetime.date(2025, 11, 13), datetime.date(2026, 3, 30), datetime.date(2026, 6, 10), datetime.date(2026, 6, 21)]",16:00,0.01
Portfolio_peak_timing_033,recurring_peak_timing,Daily peak recurs near 16:30 on 3 of 721 complete days,3,"[datetime.date(2024, 8, 25), datetime.date(2025, 3, 1), datetime.date(2025, 8, 10)]",16:30,0.004
Portfolio_peak_timing_034,recurring_peak_timing,Daily peak recurs near 17:00 on 11 of 721 complete days,11,"[datetime.date(2024, 10, 6), datetime.date(2025, 6, 8), datetime.date(2025, 7, 11), datetime.date(2025, 8, 31), datetime.date(2025, 9, 7), datetime.date(2025, 9, 14), datetime.date(2025, 11, 9), datetime.date(2026, 3, 22), datetime.date(2026, 6, 19), datetime.date(2026, 6, 20), datetime.date(2026, 7, 5)]",17:00,0.015
Portfolio_peak_timing_035,recurring_peak_timing,Daily peak recurs near 17:30 on 7 of 721 complete days,7,"[datetime.date(2024, 8, 18), datetime.date(2024, 9, 8), datetime.date(2024, 9, 21), datetime.date(2025, 6, 22), datetime.date(2026, 5, 24), datetime.date(2026, 5, 30), datetime.date(2026, 7, 8)]",17:30,0.01
Portfolio_peak_timing_036,recurring_peak_timing,Daily peak recurs near 18:00 on 3 of 721 complete days,3,"[datetime.date(2025, 8, 24), datetime.date(2025, 8, 30), datetime.date(2026, 3, 21)]",18:00,0.004
Portfolio_peak_timing_037,recurring_peak_timing,Daily peak recurs near 18:30 on 4 of 721 complete days,4,"[datetime.date(2025, 7, 5), datetime.date(2025, 10, 19), datetime.date(2026, 5, 18), datetime.date(2026, 6, 6)]",18:30,0.006
Portfolio_peak_timing_038,recurring_peak_timing,Daily peak recurs near 19:00 on 6 of 721 complete days,6,"[datetime.date(2024, 9, 17), datetime.date(2025, 2, 16), datetime.date(2025, 5, 26), datetime.date(2025, 12, 30), datetime.date(2026, 5, 20), datetime.date(2026, 6, 26)]",19:00,0.008
Portfolio_peak_timing_039,recurring_peak_timing,Daily peak recurs near 19:30 on 3 of 721 complete days,3,"[datetime.date(2024, 11, 24), datetime.date(2025, 12, 26), datetime.date(2026, 4, 15)]",19:30,0.004
Portfolio_peak_timing_040,recurring_peak_timing,Daily peak recurs near 20:00 on 6 of 721 complete days,6,"[datetime.date(2024, 8, 5), datetime.date(2025, 6, 15), datetime.date(2025, 8, 23), datetime.date(2026, 5, 3), datetime.date(2026, 6, 14), datetime.date(2026, 7, 11)]",20:00,0.008
Portfolio_peak_timing_041,recurring_peak_timing,Daily peak recurs near 20:30 on 7 of 721 complete days,7,"[datetime.date(2025, 5, 11), datetime.date(2025, 6, 28), datetime.date(2025, 7, 15), datetime.date(2025, 8, 14), datetime.date(2025, 11, 29), datetime.date(2026, 5, 2), datetime.date(2026, 5, 17)]",20:30,0.01
Portfolio_peak_timing_042,recurring_peak_timing,Daily peak recurs near 21:00 on 5 of 721 complete days,5,"[datetime.date(2024, 11, 17), datetime.date(2024, 12, 22), datetime.date(2025, 3, 29), datetime.date(2025, 7, 9), datetime.date(2026, 5, 9)]",21:00,0.007
Portfolio_peak_timing_043,recurring_peak_timing,Daily peak recurs near 21:30 on 4 of 721 complete days,4,"[datetime.date(2024, 9, 1), datetime.date(2025, 4, 19), datetime.date(2025, 7, 26), datetime.date(2026, 6, 17)]",21:30,0.006
Portfolio_peak_timing_044,recurring_peak_timing,Daily peak recurs near 22:00 on 3 of 721 complete days,3,"[datetime.date(2025, 1, 1), datetime.date(2025, 3, 22), datetime.date(2026, 5, 27)]",22:00,0.004
Portfolio_peak_timing_046,recurring_peak_timing,Daily peak recurs near 23:00 on 7 of 721 complete days,7,"[datetime.date(2024, 8, 1), datetime.date(2024, 12, 21), datetime.date(2025, 1, 19), datetime.date(2025, 2, 1), datetime.date(2025, 11, 16), datetime.date(2025, 11, 23), datetime.date(2025, 12, 27)]",23:00,0.01
Portfolio_peak_timing_047,recurring_peak_timing,Daily peak recurs near 23:30 on 18 of 721 complete days,18,"[datetime.date(2024, 11, 29), datetime.date(2024, 12, 30), datetime.date(2025, 1, 5), datetime.date(2025, 6, 21), datetime.date(2025, 6, 23), datetime.date(2025, 7, 30), datetime.date(2025, 9, 28), datetime.date(2025, 11, 30), datetime.date(2025, 12, 14), datetime.date(2025, 12, 21), datetime.date(2026, 1, 4), datetime.date(2026, 1, 11), datetime.date(2026, 1, 19), datetime.date(2026, 1, 26), datetime.date(2026, 1, 27), datetime.date(2026, 2, 1), datetime.date(2026, 2, 16), datetime.date(2026, 2, 22)]",23:30,0.025
